nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,lien_reglement,date_traitement,statut
Dambach,67083,246701098,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE NIEDERBRONN-LES-BAINS,PLUi,814f136f4faa17f4c90ac5067beb0446,27/05/2026 09:57:26,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/814f136f4faa17f4c90ac5067beb0446/files/246701098_reglement_20260518.pdf,2026-08-12,document trouvé
Dambach-la-Ville,67084,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Dangolsheim,67085,200068864,Plan Local d’Urbanisme (PLU) de la commune de DANGOLSHEIM,PLU,09a8b681d6edbd395bc34d72e130cd3d,19/05/2022 11:05:21,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/09a8b681d6edbd395bc34d72e130cd3d/files/67085_reglement_20200609.pdf,2026-08-12,document trouvé
Daubensand,67086,200067924,Plan Local d'Urbanisme (PLU) de la commune de DAUBENSAND,PLU,52a7c80119aa99de78921616630187fa,01/04/2020 15:56:55,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/52a7c80119aa99de78921616630187fa/files/67086_reglement_20200303.pdf,2026-08-12,document trouvé
Dauendorf,67087,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Dehlingen,67088,200067841,,,,,,,2026-08-12,trou de couverture
Dettwiller,67089,200068112,,,,,,,2026-08-12,trou de couverture
Diebolsheim,67090,200067924,Plan Local d’Urbanisme (PLU) de la commune de DIEBOLSHEIM,PLU,1a06170e4506cd77d3a8a1fe53e71015,29/10/2021 10:34:21,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/1a06170e4506cd77d3a8a1fe53e71015/files/67090_reglement_20210913.pdf,2026-08-12,document trouvé
Diedendorf,67091,200067841,Plan Local d’Urbanisme (PLU) de la commune de DIEDENDORF,PLU,cfb4d19a4564b50799d8db30bbc86138,10/12/2021 10:38:13,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/cfb4d19a4564b50799d8db30bbc86138/files/67091_reglement_20210220.pdf,2026-08-12,document trouvé
Dieffenbach-au-Val,67092,246700777,Plan Local d'Urbanisme intercommunal (PLUi) DE LA VALLEE DE VILLE,PLUi,12666ec8d6fb548ead67bc9c63776f94,28/07/2025 11:05:15,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/12666ec8d6fb548ead67bc9c63776f94/files/246700777_reglement_20250704.pdf,2026-08-12,document trouvé
