nom_commune,code_insee_commune,code_siren_epci,nom_document,nature_document,id_gpu,date_approbation,niveau_couverture,lien_reglement,date_traitement,statut
Gottenhouse,67161,200068112,Plan Local d'Urbanisme (PLU) de la commune de GOTTENHOUSE,PLU,fc6221b63e5f08278b404450a8d9ee72,11/02/2020 14:09:05,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/fc6221b63e5f08278b404450a8d9ee72/files/67161_reglement_20200204.pdf,2026-08-12,document trouvé
Gottesheim,67162,200068112,,,,,,,2026-08-12,trou de couverture
Gougenheim,67163,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Goxwiller,67164,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Grandfontaine,67165,246700306,Carte Communale (CC) de la commune de GRANDFONTAINE,CC,cb53ff1e1468d99042d1ce805369d7d2,02/11/2021 15:40:03,commune,,2026-08-12,document trouvé
Grassendorf,67166,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Grendelbruch,67167,246700744,Plan Local d'Urbanisme (PLU) de la commune de GRENDELBRUCH,PLU,a39d43a19acccad27036f3a09c82b354,13/10/2022 13:52:04,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/a39d43a19acccad27036f3a09c82b354/files/67167_reglement_20211208.pdf,2026-08-12,document trouvé
Gresswiller,67168,246701064,Plan Local d'Urbanisme (PLU) de la commune de GRESSWILLER,PLU,a3b81f92d7de7491d24efd66e6384ba9,22/01/2025 11:11:27,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/a3b81f92d7de7491d24efd66e6384ba9/files/67168_reglement_20250113.pdf,2026-08-12,document trouvé
Gries,67169,246700843,,,,,,,2026-08-12,trou de couverture
Griesheim-près-Molsheim,67172,246700744,Plan Local d'Urbanisme (PLU) de la commune de GRIESHEIM-PRES-MOLSHEIM,PLU,12698d5bb8b9e934adf7daff50eef625,29/11/2022 10:42:33,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/12698d5bb8b9e934adf7daff50eef625/files/67172_reglement_20191213.pdf,2026-08-12,document trouvé
Griesheim-sur-Souffel,67173,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Gumbrechtshoffen,67174,246701098,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE NIEDERBRONN-LES-BAINS,PLUi,814f136f4faa17f4c90ac5067beb0446,27/05/2026 09:57:26,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/814f136f4faa17f4c90ac5067beb0446/files/246701098_reglement_20260518.pdf,2026-08-12,document trouvé
Gundershoffen,67176,246701098,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE NIEDERBRONN-LES-BAINS,PLUi,814f136f4faa17f4c90ac5067beb0446,27/05/2026 09:57:26,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/814f136f4faa17f4c90ac5067beb0446/files/246701098_reglement_20260518.pdf,2026-08-12,document trouvé
Gunstett,67177,200013050,,,,,,,2026-08-12,trou de couverture
Gungwiller,67178,200067841,,,,,,,2026-08-12,trou de couverture
Haegen,67179,200068112,,,,,,,2026-08-12,trou de couverture
Haguenau,67180,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Handschuheim,67181,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Hangenbieten,67182,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Harskirchen,67183,200067841,,,,,,,2026-08-12,trou de couverture
Hatten,67184,200040178,Plan Local d'Urbanisme intercommunal (PLUi) DE L'OUTRE-FORET partie A,PLUi,284928e1449906994f1323c4fc818562,23/07/2026 09:49:19,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/284928e1449906994f1323c4fc818562/files/200040178_reglement_20260629_A.pdf,2026-08-12,document trouvé
Hattmatt,67185,200068112,,,,,,,2026-08-12,trou de couverture
Hegeney,67186,200013050,Plan Local d'Urbanisme (PLU) de la commune de HEGENEY,PLU,327fe4caaec3e723896a4fa2d9e1af80,02/02/2021 15:47:34,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/327fe4caaec3e723896a4fa2d9e1af80/files/67186_reglement_20210107.pdf,2026-08-12,document trouvé
Heidolsheim,67187,200030526,,,,,,,2026-08-12,trou de couverture
Heiligenberg,67188,246701064,Plan Local d'Urbanisme (PLU) de la commune de HEILIGENBERG,PLU,5edf63b8118051e81a650e2a279541fd,05/01/2026 13:42:39,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/5edf63b8118051e81a650e2a279541fd/files/67188_reglement_20251217.pdf,2026-08-12,document trouvé
Heiligenstein,67189,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Hengwiller,67190,200068112,,,,,,,2026-08-12,trou de couverture
Herbitzheim,67191,200067841,Plan Local d’Urbanisme (PLU) de la commune de HERBITZHEIM,PLU,eb0a09fe20c0a1d65085271042f0bb65,21/09/2021 13:44:16,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/eb0a09fe20c0a1d65085271042f0bb65/files/67191_reglement_20210910.pdf,2026-08-12,document trouvé
Herbsheim,67192,200067924,Plan Local d'Urbanisme (PLU) de la commune de HERBSHEIM,PLU,3d7cbfa12357702dc77481a7e26719f4,25/10/2019 12:28:26,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/3d7cbfa12357702dc77481a7e26719f4/files/67192_reglement_20191003.pdf,2026-08-12,document trouvé
Herrlisheim,67194,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Hessenheim,67195,200030526,,,,,,,2026-08-12,trou de couverture
Hilsenheim,67196,200030526,Plan Local d'Urbanisme (PLU) de la commune de HILSENHEIM,PLU,f1062fdc3db934aa3440508de0c5f133,04/03/2026 08:29:21,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/f1062fdc3db934aa3440508de0c5f133/files/67196_reglement_20260210.pdf,2026-08-12,document trouvé
Hindisheim,67197,200067924,Plan Local d'Urbanisme (PLU) de la commune de HINDISHEIM,PLU,1575c6d1cade47b0d2c362eea629042e,26/01/2026 17:26:29,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/1575c6d1cade47b0d2c362eea629042e/files/67197_reglement_20251218.pdf,2026-08-12,document trouvé
Hinsbourg,67198,200067783,,,,,,,2026-08-12,trou de couverture
Hinsingen,67199,200067841,,,,,,,2026-08-12,trou de couverture
Hipsheim,67200,200067924,Plan Local d'Urbanisme (PLU) de la commune de HIPSHEIM,PLU,36ec473498c3ae5a14b4c61db4f79394,31/03/2026 10:39:36,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/36ec473498c3ae5a14b4c61db4f79394/files/67200_reglement_20260216.pdf,2026-08-12,document trouvé
Hirschland,67201,200067841,,,,,,,2026-08-12,trou de couverture
Hochfelden,67202,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Hochstett,67203,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Hœnheim,67204,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Hœrdt,67205,246700843,Plan Local d'Urbanisme (PLU) de la commune de HOERDT,PLU,c9722795c3e231844b4aae1adcb3327d,08/09/2025 12:23:21,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/c9722795c3e231844b4aae1adcb3327d/files/67205_reglement_20250623.pdf,2026-08-12,document trouvé
Hoffen,67206,200040178,Plan Local d'Urbanisme intercommunal (PLUi) DE L'OUTRE-FORET partie A,PLUi,284928e1449906994f1323c4fc818562,23/07/2026 09:49:19,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/284928e1449906994f1323c4fc818562/files/200040178_reglement_20260629_A.pdf,2026-08-12,document trouvé
Hohengœft,67208,200068864,,,,,,,2026-08-12,trou de couverture
Hohfrankenheim,67209,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Le Hohwald,67210,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Holtzheim,67212,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Hunspach,67213,246700926,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE WISSEMBOURG,PLUi,c2e8753ac76f6b65769ace248d30f1ca,11/06/2026 10:23:33,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/c2e8753ac76f6b65769ace248d30f1ca/files/246700926_reglement_20260601.pdf,2026-08-12,document trouvé
Hurtigheim,67214,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Huttendorf,67215,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Huttenheim,67216,200067924,Plan Local d'Urbanisme (PLU) de la commune de HUTTENHEIM,PLU,bac30244fee876d81b11b1103b86dddc,11/03/2026 13:16:19,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/bac30244fee876d81b11b1103b86dddc/files/67216_reglement_20260223.pdf,2026-08-12,document trouvé
Ichtratzheim,67217,200067924,,,,,,,2026-08-12,trou de couverture
Illkirch-Graffenstaden,67218,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Ingenheim,67220,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Ingolsheim,67221,246700926,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE WISSEMBOURG,PLUi,c2e8753ac76f6b65769ace248d30f1ca,11/06/2026 10:23:33,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/c2e8753ac76f6b65769ace248d30f1ca/files/246700926_reglement_20260601.pdf,2026-08-12,document trouvé
Ingwiller,67222,200067783,Plan Local d'Urbanisme intercommunal (PLUi) DE HANAU-LA PETITE PIERRE partie A,PLUi,ed7dc9c81a38e442eb1ff778ba9be0a2,06/02/2026 15:28:13,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/ed7dc9c81a38e442eb1ff778ba9be0a2/files/200067783_reglement_20260202_A.pdf,2026-08-12,document trouvé
Innenheim,67223,246701080,Plan Local d'Urbanisme (PLU) de la commune de INNENHEIM,PLU,c061be10895aa90b36a60d7127fa24f0,14/05/2024 13:18:02,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/c061be10895aa90b36a60d7127fa24f0/files/67223_reglement_20240219.pdf,2026-08-12,document trouvé
Issenhausen,67225,246700959,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE LA ZORN,PLUi,5d8ce7c57a62b3545d243546281d2546,03/08/2026 08:28:16,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/5d8ce7c57a62b3545d243546281d2546/files/246700959_reglement_20260716.pdf,2026-08-12,document trouvé
Ittenheim,67226,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Itterswiller,67227,200034270,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS DE BARR,PLUi,d5d57b13334e4b7e4e0bbc3ca70df84f,16/01/2025 15:04:28,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/d5d57b13334e4b7e4e0bbc3ca70df84f/files/200034270_reglement_20250107.pdf,2026-08-12,document trouvé
Neugartheim-Ittlenheim,67228,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Jetterswiller,67229,200068864,,,,,,,2026-08-12,trou de couverture
Kaltenhouse,67230,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Kauffenheim,67231,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Keffenach,67232,200040178,Plan Local d'Urbanisme (PLU) de la commune de KEFFENACH,PLU,1dc2c1cd430a77da5b529fa65edf5a1f,06/01/2021 13:07:51,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/1dc2c1cd430a77da5b529fa65edf5a1f/files/67232_reglement_20130607.pdf,2026-08-12,document trouvé
Kertzfeld,67233,200067924,Plan Local d'Urbanisme (PLU) de la commune de KERTZFELD,PLU,04a34ffb72087d96326c513ae52dc0d2,01/02/2023 09:17:01,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/04a34ffb72087d96326c513ae52dc0d2/files/67233_reglement_20200314.pdf,2026-08-12,document trouvé
Keskastel,67234,200067841,Plan Local d’Urbanisme (PLU) de la commune de KESKASTEL,PLU,d2bd1c96b21d78ad156e542926b6506f,07/04/2022 14:41:24,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/d2bd1c96b21d78ad156e542926b6506f/files/67234_reglement_20220216.pdf,2026-08-12,document trouvé
Kesseldorf,67235,200041283,,,,,,,2026-08-12,trou de couverture
Kienheim,67236,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Kilstett,67237,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Kindwiller,67238,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Kintzheim,67239,246700967,Plan Local d'Urbanisme (PLU) de la commune de KINTZHEIM,PLU,b69e260ffc76830aef751103cbfd0f82,12/03/2026 13:22:24,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/b69e260ffc76830aef751103cbfd0f82/files/67239_reglement_20260128.pdf,2026-08-12,document trouvé
Kirchheim,67240,200068864,Plan Local d'Urbanisme (PLU) de la commune de KIRCHHEIM,PLU,17cd7286dfcae35b7438498a09358adf,02/09/2022 17:24:30,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/17cd7286dfcae35b7438498a09358adf/files/67240_reglement_20200228.pdf,2026-08-12,document trouvé
Kirrberg,67241,200067841,,,,,,,2026-08-12,trou de couverture
Kirrwiller,67242,200067783,Plan Local d'Urbanisme intercommunal (PLUi) DE HANAU-LA PETITE PIERRE partie A,PLUi,ed7dc9c81a38e442eb1ff778ba9be0a2,06/02/2026 15:28:13,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/ed7dc9c81a38e442eb1ff778ba9be0a2/files/200067783_reglement_20260202_A.pdf,2026-08-12,document trouvé
Kleingœft,67244,200068112,,,,,,,2026-08-12,trou de couverture
Knœrsheim,67245,200068864,,,,,,,2026-08-12,trou de couverture
Kogenheim,67246,200067924,Plan Local d'Urbanisme (PLU) de la commune de KOGENHEIM,PLU,82eeb21b6a85ba624ac13526596f3b2d,21/04/2026 18:12:38,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/82eeb21b6a85ba624ac13526596f3b2d/files/67246_reglement_20260409.pdf,2026-08-12,document trouvé
Kolbsheim,67247,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Krautergersheim,67248,246701080,Plan Local d'Urbanisme (PLU) de la commune de KRAUTERGERSHEIM,PLU,931dce441c11b4256949000dafed91f0,14/05/2024 13:17:22,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/931dce441c11b4256949000dafed91f0/files/67248_reglement_20240219.pdf,2026-08-12,document trouvé
Krautwiller,67249,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Kriegsheim,67250,200067874,Plan Local d'Urbanisme intercommunal (PLUi) DE HAGUENAU,PLUi,171518c6d5441a4ad41c30cf32dbe4ca,05/05/2026 12:19:47,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/171518c6d5441a4ad41c30cf32dbe4ca/files/200067874_reglement_20260427.pdf,2026-08-12,document trouvé
Kurtzenhouse,67252,246700843,Plan Local d'Urbanisme (PLU) de la commune de KURTZENHOUSE,PLU,d9f1902e01d10dfb16b87041193ba1c5,08/09/2025 12:24:14,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/d9f1902e01d10dfb16b87041193ba1c5/files/67252_reglement_20250623.pdf,2026-08-12,document trouvé
Kuttolsheim,67253,200034635,Plan Local d'Urbanisme intercommunal (PLUi) DU KOCHERSBERG ET DE L'ACKERLAND,PLUi,274e0297eee8a3b4d7650c9c8d2c950f,03/02/2026 14:11:50,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/274e0297eee8a3b4d7650c9c8d2c950f/files/200034635_reglement_20251211.pdf,2026-08-12,document trouvé
Kutzenhausen,67254,200013050,,,,,,,2026-08-12,trou de couverture
Lalaye,67255,246700777,Plan Local d'Urbanisme intercommunal (PLUi) DE LA VALLEE DE VILLE,PLUi,12666ec8d6fb548ead67bc9c63776f94,28/07/2025 11:05:15,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/12666ec8d6fb548ead67bc9c63776f94/files/246700777_reglement_20250704.pdf,2026-08-12,document trouvé
Lampertheim,67256,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Lampertsloch,67257,200013050,,,,,,,2026-08-12,trou de couverture
Landersheim,67258,200068112,,,,,,,2026-08-12,trou de couverture
Langensoultzbach,67259,200013050,Plan Local d'Urbanisme (PLU) de la commune de LANGENSOULTZBACH,PLU,d3aa9b769f860d2eb137337e980def1d,16/06/2020 12:39:40,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/d3aa9b769f860d2eb137337e980def1d/files/67259_reglement_20200305.pdf,2026-08-12,document trouvé
Laubach,67260,200013050,Plan Local d’Urbanisme (PLU) de la commune de LAUBACH,PLU,6a23d3f9ed21d7d0ddedc85cdff71c1e,07/07/2022 19:02:35,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/6a23d3f9ed21d7d0ddedc85cdff71c1e/files/67260_reglement_20220331.pdf,2026-08-12,document trouvé
Lauterbourg,67261,200041283,Plan Local d'Urbanisme (PLU) de la commune de LAUTERBOURG,PLU,8ae18694b57b473bb4461d1d66380731,28/05/2025 14:02:27,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/8ae18694b57b473bb4461d1d66380731/files/67261_reglement_20250505.pdf,2026-08-12,document trouvé
Lembach,67263,200013050,Plan Local d'Urbanisme (PLU) de la commune de LEMBACH,PLU,d161b780c866c1c390f3d420efb8e48f,11/02/2026 10:12:16,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/d161b780c866c1c390f3d420efb8e48f/files/67263_reglement_20260127.pdf,2026-08-12,document trouvé
Leutenheim,67264,200041325,Plan Local d'Urbanisme intercommunal (PLUi) DU PAYS RHENAN,PLUi,b5ae1da72ed7f5ecf4aa179df33e1076,13/10/2025 09:14:53,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/b5ae1da72ed7f5ecf4aa179df33e1076/files/200041325_reglement_20250929.pdf,2026-08-12,document trouvé
Lichtenberg,67265,200067783,Plan Local d'Urbanisme intercommunal (PLUi) DE HANAU-LA PETITE PIERRE partie A,PLUi,ed7dc9c81a38e442eb1ff778ba9be0a2,06/02/2026 15:28:13,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/ed7dc9c81a38e442eb1ff778ba9be0a2/files/200067783_reglement_20260202_A.pdf,2026-08-12,document trouvé
Limersheim,67266,200067924,Plan Local d'Urbanisme (PLU) de la commune de LIMERSHEIM,PLU,529d586585da83ff5a056d71c9c1c7eb,10/07/2026 14:20:45,commune,https://www.geoportail-urbanisme.gouv.fr/api/document/529d586585da83ff5a056d71c9c1c7eb/files/67266_reglement_20260706.pdf,2026-08-12,document trouvé
Lingolsheim,67267,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Lipsheim,67268,246700488,Plan Local d'Urbanisme intercommunal (PLUi) EUROMETROPOLE DE STRASBOURG,PLUi,95d3871caefe158c101a466ab9e91c5b,22/05/2026 11:10:48,EPCI,https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_reglement_20260206.pdf,2026-08-12,document trouvé
Littenheim,67269,200068112,,,,,,,2026-08-12,trou de couverture
